"","owner","name","date","version","version_ext","V1","V2","V3","calculated_ver"
"1595","meteor","meteor",2014-08-27,"release/METEOR@0.9.0.1-rc1","0.9.0","0","9","0",9000
"1596","meteor","meteor",2014-08-27,"release/CORDOVA-PREVIEW@4",NA,NA,NA,NA,NA
"1597","meteor","meteor",2014-08-26,"release/METEOR@0.9.0","0.9.0","0","9","0",9000
"1598","meteor","meteor",2014-08-26,"release/METEOR@0.9.0-rc22","0.9.0","0","9","0",9000
"1599","meteor","meteor",2014-08-26,"release/METEOR@0.9.0-rc21","0.9.0","0","9","0",9000
"1600","meteor","meteor",2014-08-26,"release/METEOR@0.9.0-rc20","0.9.0","0","9","0",9000
"1601","meteor","meteor",2014-08-25,"release/METEOR@0.9.0-rc19","0.9.0","0","9","0",9000
"1602","meteor","meteor",2014-08-25,"release/METEOR@0.9.0-rc18","0.9.0","0","9","0",9000
"1603","meteor","meteor",2014-08-25,"release/METEOR@0.9.0-rc17","0.9.0","0","9","0",9000
"1604","meteor","meteor",2014-08-25,"release/METEOR@0.9.0-rc16","0.9.0","0","9","0",9000
"1605","meteor","meteor",2014-08-25,"release/METEOR@0.9.0-rc15","0.9.0","0","9","0",9000
"1606","meteor","meteor",2014-08-25,"release/METEOR@0.9.0-rc14","0.9.0","0","9","0",9000
"1607","meteor","meteor",2014-08-25,"release/METEOR@0.9.0-rc13","0.9.0","0","9","0",9000
"1608","meteor","meteor",2014-08-23,"release/METEOR-CORE@0.9.0-rc12","0.9.0","0","9","0",9000
"1609","meteor","meteor",2014-08-22,"release-fixed/CORDOVA-PREVIEW@3",NA,NA,NA,NA,NA
"1610","meteor","meteor",2014-08-22,"release/METEOR-CORE@0.9.0-rc11","0.9.0","0","9","0",9000
"1611","meteor","meteor",2014-08-22,"release/GLASSER-TEST@2.0",NA,NA,NA,NA,NA
"1612","meteor","meteor",2014-08-21,"release/CORDOVA-PREVIEW@3",NA,NA,NA,NA,NA
"1613","meteor","meteor",2014-08-21,"release/GLASSER-TEST@1.0-cs1",NA,NA,NA,NA,NA
"1614","meteor","meteor",2014-08-21,"release/CORDOVA-PREVIEW@2",NA,NA,NA,NA,NA
"1615","meteor","meteor",2014-08-21,"release/CORDOVA-PREVIEW@1",NA,NA,NA,NA,NA
"1616","meteor","meteor",2014-08-20,"release/METEOR-CORE@0.9.0-ekate-tests-something6","0.9.0","0","9","0",9000
"1617","meteor","meteor",2014-08-20,"release/METEOR-CORE@0.9.0-ekate-tests-something5","0.9.0","0","9","0",9000
"1618","meteor","meteor",2014-08-20,"release/METEOR-CORE@0.9.0-rc10","0.9.0","0","9","0",9000
"1619","meteor","meteor",2014-08-19,"release/GLASSER-TEST@maybe-rc10",NA,NA,NA,NA,NA
"1620","meteor","meteor",2014-08-15,"release/METEOR-CORE@0.9.0-rc9","0.9.0","0","9","0",9000
"1621","meteor","meteor",2014-08-14,"release/METEOR-CORE@0.9.0-rc8","0.9.0","0","9","0",9000
"1622","meteor","meteor",2014-08-14,"release/METEOR-CORE@0.9.0-rc7","0.9.0","0","9","0",9000
"1623","meteor","meteor",2014-08-12,"release/METEOR-CORE@0.9.0-rc6","0.9.0","0","9","0",9000
"1624","meteor","meteor",2014-08-08,"release/METEOR-CORE@0.9.0-rc5","0.9.0","0","9","0",9000
"1625","meteor","meteor",2014-08-06,"release/METEOR-CORE@0.9.0-rc4","0.9.0","0","9","0",9000
"1626","meteor","meteor",2014-08-06,"release/METEOR-CORE@0.9.0-rc3","0.9.0","0","9","0",9000
"1627","meteor","meteor",2014-08-06,"release/METEOR-CORE@0.9.0-rc2","0.9.0","0","9","0",9000
"1628","meteor","meteor",2014-08-06,"release/METEOR-CORE@0.9.0-rc1","0.9.0","0","9","0",9000
"1629","meteor","meteor",2014-07-29,"release/0.8.3-rc8","0.8.3","0","8","3",8003
"1630","meteor","meteor",2014-07-29,"release/0.8.3","0.8.3","0","8","3",8003
"1631","meteor","meteor",2014-07-28,"release/0.8.3-rc7","0.8.3","0","8","3",8003
"1632","meteor","meteor",2014-07-28,"release/0.8.3-rc6","0.8.3","0","8","3",8003
"1633","meteor","meteor",2014-07-26,"release/0.8.3-rc5","0.8.3","0","8","3",8003
"1634","meteor","meteor",2014-07-25,"release/0.8.3-rc4","0.8.3","0","8","3",8003
"1635","meteor","meteor",2014-07-25,"release/0.8.3-rc3","0.8.3","0","8","3",8003
"1636","meteor","meteor",2014-07-21,"release/0.8.3-rc2","0.8.3","0","8","3",8003
"1637","meteor","meteor",2014-07-21,"release/download-0.8.3-packages-test-5","0.8.3","0","8","3",8003
"1638","meteor","meteor",2014-07-21,"release/0.8.3-rc1","0.8.3","0","8","3",8003
"1639","meteor","meteor",2014-07-21,"release/download-0.8.3-packages-test-4","0.8.3","0","8","3",8003
"1640","meteor","meteor",2014-07-21,"release/download-0.8.3-packages-test-3","0.8.3","0","8","3",8003
"1641","meteor","meteor",2014-07-21,"release/download-test-0.8.2-2","0.8.2","0","8","2",8002
"1642","meteor","meteor",2014-07-20,"release/download-test-0.8.3","0.8.3","0","8","3",8003
"1643","meteor","meteor",2014-07-18,"release/0.8.3-rc0","0.8.3","0","8","3",8003
"1644","meteor","meteor",2014-07-18,"release/automated-tests-test",NA,NA,NA,NA,NA
"1645","meteor","meteor",2014-07-07,"release/blaze-refactor-rc2",NA,NA,NA,NA,NA
"1646","meteor","meteor",2014-07-03,"release/blaze-refactor-rc1",NA,NA,NA,NA,NA
"1647","meteor","meteor",2014-07-01,"release/blaze-refactor-rc0",NA,NA,NA,NA,NA
"1648","meteor","meteor",2014-06-26,"release/redis-wip-0",NA,NA,NA,NA,NA
"1649","meteor","meteor",2014-06-22,"release/download-test-0.8.2","0.8.2","0","8","2",8002
"1650","meteor","meteor",2014-06-22,"release/0.8.2-rc7","0.8.2","0","8","2",8002
"1651","meteor","meteor",2014-06-22,"release/0.8.2","0.8.2","0","8","2",8002
"1652","meteor","meteor",2014-06-22,"release/0.8.2-rc6","0.8.2","0","8","2",8002
"1653","meteor","meteor",2014-06-21,"release/0.8.2-rc5","0.8.2","0","8","2",8002
"1654","meteor","meteor",2014-06-19,"release/change-password-fix",NA,NA,NA,NA,NA
"1655","meteor","meteor",2014-06-18,"release/0.7.1.2-with-dev-bundle-0.3.38","0.7.1","0","7","1",7001
"1656","meteor","meteor",2014-06-17,"release/0.8.2-rc4","0.8.2","0","8","2",8002
"1657","meteor","meteor",2014-06-14,"release/0.8.2-rc3","0.8.2","0","8","2",8002
"1658","meteor","meteor",2014-06-13,"release/0.8.2-rc2","0.8.2","0","8","2",8002
"1659","meteor","meteor",2014-06-11,"release/0.8.2-rc1","0.8.2","0","8","2",8002
"1660","meteor","meteor",2014-06-11,"release/0.8.2-rc0","0.8.2","0","8","2",8002
"1661","meteor","meteor",2014-06-05,"release/frontpage-verify-username",NA,NA,NA,NA,NA
"1662","meteor","meteor",2014-05-22,"release/0.8.1.3-rc3","0.8.1","0","8","1",8001
"1663","meteor","meteor",2014-05-22,"release/0.8.1.3","0.8.1","0","8","1",8001
